id,NameLatNom,rus,NameLatGen,Type,VrdG,VsdG,GttsPerMl,Density,E_Factor,KUO,KV,Solubility,Storage,InteractionNotes,ointment_entry_type,ointment_solvent_inn_key,ointment_ratio_solute_to_solvent,ointment_note,PedsVrdG,PedsRdG,VrdChild_0_1,VrdChild_1_6,VrdChild_7_14,NeedsTrituration,ByComposition,PharmActivity,ByNature,PhysicalState,IsListA_Poison,NaturalGroup,IsNarcotic,List_A,List_B,HerbalPart,PrepMethod,HerbalRatio,WaterTempC,HeatBathMin,StandMin,CoolMin,Strain,PressMarc,BringToVolume,ShelfLifeHours,StoragePrepared,NotesHerbal,IsHerbalMix,MixComponents,MixUse,ExtractionSolvent,TinctureRatio,MacerationDays,ShakeDaily,Filter,StorageTincture,ExtractType,ExtractSolvent,ExtractRatio,ExtractStd,IsOintmentFitocomp,OintmentBase,OintmentStrength,UseRoute,Process,BufferType,BufferPH,BufferMolarity,BufferComponents,SolventType,Sterile,NotesSolvent,BaseType,NotesBase,dissolution_type
77,Caffeine-natrii benzoas,Кофеин-натрийбензойные кислоты,Coffeini-natrii benzoatis,Act,0.5,1.5,20,0.55,0.22,0.65,,1:2,LightProtected,IncompatibleWithIodides,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Стимулятор ЦНС,Твердые,Твердые,NO,Алкалоиды,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Calamine,Каламин,Calaminae,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Calcii carbonas,Кальция карбонат,Calcii carbonatis,Act,5.0,10.0,,,,,,,темне місце,,,,,,2.5,5.0,0.625,1.25,2.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Calcii chloridum,Хлорид кальция,Calcii chloridi,Act,2.0,6.0,,,,,,,,,,,,,1.0,3.0,0.25,0.5,1.0,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Calcii gluconas,Кальций глюконас,Calcii gluconatis,Act,3.0,9.0,,,,,,,сухе місце,,,,,,1.5,4.5,0.375,0.75,1.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Calcii lactas,Лактозное молоко,Calcii lactatis,Act,2.0,6.0,,,,,,,,,,,,,1.0,3.0,0.25,0.5,1.0,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Calcium bromide,Бромид кальция,Calcii bromidi,Act,2.0,6.0,,,,,,,,,,,,,1.0,3.0,0.25,0.5,1.0,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Calcium carbonate,Кальция карбонат,Calcii carbonatis,Act,5.0,10.0,,,,,,,темне місце,,,,,,2.5,5.0,0.625,1.25,2.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Calcium chloride,Хлорид кальция,Calcii chloridi,Act,2.0,6.0,,,,,,,,,,,,,1.0,3.0,0.25,0.5,1.0,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Calcium gluconate,глюконат кальция,Calcii gluconatis,Act,3.0,9.0,,,,,,,,,,,,,1.5,4.5,0.375,0.75,1.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Calcium lactate,Лактат кальция,Calcii lactatis,Act,2.0,6.0,,,,,,,,,,,,,1.0,3.0,0.25,0.5,1.0,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Camphora,Камфора,Camphorae,Act,0.1,0.3,,,,0.9,100.0,"Мало розчинна у воді, дуже легко розчинна у спирті","У щільно закупореній тарі, у прохолодному місці",Утворює евтектики з ментолом,solution_in_base,,,Розчинити в теплій основі (обережно підігріти),0.05,0.15,0.0125,0.025,0.05,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Camphora trita,Измельченная камфора,Camphorae tritae,Act,0.1,0.3,,,,,,,,,,,,,0.05,0.15,0.0125,0.025,0.05,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Camphorated oil,Камфорное масло,Olei camphorati,Act,,,,0.92,1.0,1.0,,Insoluble,CoolPlace,VolatileComponent,,,,,,,,,NO,Лекарственное вещество,Местнораздражающее,Синтетические,Жидкие,Жидкие,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbachol,Carbacholi
91,Carbenicillin,Карбенициллин,Carbenicillini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Carbo activatus,Карбо активат,Carbonis activati,Act,10.0,30.0,,,,,,,,,,,,,5.0,15.0,1.25,2.5,5.0,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Carbolic acid,Карболовая кислота,Acidi carbolici,Act,0.1,0.3,,,,,,,,,,,,,0.05,0.15,0.0125,0.025,0.05,NO,Лекарственное вещество,Ядовитые,Синтетические,Твердые,YES,,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Carisoprodol,Карисопродол,Carisoprodoli,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Castor oil,Касторовое масло,Olei Ricini,Act,30.0,30.0,,,,,,,,,,,,,15.0,15.0,3.75,7.5,15.0,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Chloral hydrate,Хлоралгидрат,Chlorali hydratis,Act,2.0,6.0,,,,,,,"сухе, прохолодне місце",,,,,,1.0,3.0,0.25,0.5,1.0,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Chlorali hydras,Хлоралгидра,Chlorali hydratis,Act,2.0,6.0,,,,,,,,,,,,,1.0,3.0,0.25,0.5,1.0,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Chloramine B,Хлорамин Б,Chloramini B,Act,,,,,,,,,"сухе, прохолодне місце",,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Chloraminum B,Хлорамин Б,Chloramini B,Act,,,,,,,,,"сухе, прохолодне місце",,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Chloramphenicol,хлорамфеникол,Laevomycetini,Act,0.5,2.0,,,,,,,,,,,,,0.25,1.0,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Chlorisoprotaminum,хлоризопротамин,Chlorisoprotamini,Act,0.01,0.03,,,,,,,,,,,,,0.005,0.015,0.00125,0.0025,0.005,YES,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Chloroform,Хлороформ,Chloroformii,Act,0.5,1.5,,,,,,,темне місце,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Chlorpromazinum,хлорпромазин,Chlorpromazini,Act,0.1,0.3,,,,,,,,,,,,,0.05,0.15,0.0125,0.025,0.05,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Chlortetracyclinum,хлортетрациклин,Chlortetracyclini,Act,0.5,2.0,,,,,,,,,,,,,0.25,1.0,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Coal tar,каменноугольная смола,Picis liquidae,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Codeine phosphate,Кодеин фосфат,Codeini phosphatis,Act,0.1,0.3,,,,,,,сухе місце,,,,,,0.05,0.15,0.0125,0.025,0.05,NO,Лекарственное вещество,Сильнодействующие,Природные,Твердые,NO,Алкалоиды,NO,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Codeini phosphas,Кодеини фосфат,Codeini phosphatis,Act,0.1,0.3,20,0.6,0.1,0.75,,1:4,LightProtected,IncompatibleWithAlkalies,,,,,,0.05,0.15,0.0125,0.025,0.05,NO,Лекарственное вещество,Противокашлевое,Твердые,Твердые,YES,Алкалоиды,YES,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Colchicine,Колхицин,Colchicinae,Act,0.001,0.003,,,,,,,,,,,,,0.0005,0.0015,0.000125,0.00025,0.0005,YES,Лекарственное вещество,Ядовитые,Природные,Твердые,YES,Алкалоиды,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Collargolum,Колларгол,Collargoli,Act,0.3,1.0,20.0,1.1,,,,"Повільно розчинний у воді (1:50), утворює колоїдний розчин","У щільно закритих флаконах оранжевого скла, в захищеному від світла місці.","Несумісний з алкалоїдами (викликає коагуляцію), солями важких металів, кислотами.",,,,0.03,0.1,0.03,0.05,0.1,false,NO,Антисептичний та протизапальний засіб,Organic,Зеленувато- або синювато-чорні пластинки з металічним блиском,Твердые,Protected colloid,false,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,colloidCollargol
110,Convallariae tinctura,Настойка конвалларии,Convallariae tincturae,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Copper sulfate,Медный купорос,Cupri sulfatis,Act,0.05,0.2,,,,,,,,,,,,,0.025,0.1,0.00625,0.0125,0.025,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Cortex Quercus,Кортекс Кверкус,Corticis Quercus,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Cream Chamomillae 5%,Крем Ромашки 5%,Cream Chamomillae 5%,Act,,,,,,,,,"15-25°C, tightly closed",,,,,,,,,,,NO,,,Природные,Мягкие,,Растительное сырье,NO,NO,NO,,,,,,,,,,,,,,,Chamomile extract::100,,,,,,,,,,,,YES,PEG base,5%,External,PEG cream base.,,,,,,,,,,
114,Cream Salviae 5%,Крем шалфея 5%,Cream Salviae 5%,Act,,,,,,,,,"15-25°C, tightly closed",,,,,,,,,,,NO,,,Природные,Мягкие,,Растительное сырье,NO,NO,NO,,,,,,,,,,,,,,,Sage extract::100,,,,,,,,,,,,YES,PEG base,5%,External,Antiseptic cream.,,,,,,,,,,
115,Dermatolum,Дерматол,Dermatoli,Act,1.0,3.0,,,0.48,,,,сухе місце при температурі не вище 20 град. C,К-т заміщення для дерматолу,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Diazepam,Диазепам,Diazepami,Act,0.01,0.03,,,,,,,,,,,,,0.005,0.015,0.00125,0.0025,0.005,YES,Лекарственное вещество,Сильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Diazepamum,Диазепам,Diazepami,Act,0.01,0.03,,,,,,,,,,,,,0.005,0.015,0.00125,0.0025,0.005,YES,Лекарственное вещество,Сильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Digitalis powder,Порошок наперстянки,Digitalis pulveris,Act,0.1,0.5,,,,,,,,,,,,,0.05,0.25,0.0125,0.025,0.05,NO,Лекарственное вещество,Ядовитые,Синтетические,Твердые,YES,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Digitoxin,Дигитоксин,Digitoxini,Act,0.0005,0.001,,,,,,,,,,,,,0.00025,0.0005,6.3e-05,0.000125,0.00025,YES,Лекарственное вещество,Ядовитые,Природные,Твердые,YES,Гликозиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Digoxinum,Дигоксин,Digoxini,Act,0.0005,0.001,,,,,,,,,,,,,0.00025,0.0005,6.3e-05,0.000125,0.00025,YES,Лекарственное вещество,Ядовитые,Природные,Твердые,YES,Гликозиды,NO,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Dimedrolum,Димедрол,Dimedroli,Act,0.1,0.25,,0.85,0.7,0.7,,Дуже легко розчинний у воді,"Список Б. У щільно закупореній тарі, у захищеному від світла місці",,emulsion,aqua purificata,,Список Б,0.05,0.125,0.0125,0.025,0.05,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Dimercaprol,Димеркапрол,Dimercaproli,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Diphenhydramine,Димедрол,Dimedroli,Act,0.1,0.25,,,,,,,сухе місце,,,,,,0.05,0.125,0.0125,0.025,0.05,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Diphenhydramine hydrochloride,Димедрол гидрохлорид,Dimedroli,Act,0.1,0.25,,,,,,,,,,,,,0.05,0.125,0.0125,0.025,0.05,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Ephedrine,Эфедрин,Ephedrini,Act,0.05,0.15,,,,,,,"Список Б. У щільно закупореній тарі, у захищеному від світла місці",,,,,,0.025,0.075,0.00625,0.0125,0.025,NO,Лекарственное вещество,Сильнодействующие,Природные,Твердые,NO,Алкалоиды,NO,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Ephedrine hydrochloride,Эфедрина гидрохлорид,Ephedrini hydrochloridi,Act,0.05,0.15,,,,0.25,,Дуже легко розчинний у воді,"Список Б. У щільно закупореній тарі, у захищеному від світла місці",,emulsion,aqua purificata,1.0,,0.025,0.075,0.00625,0.0125,0.025,NO,Лекарственное вещество,Сильнодействующие,Природные,Твердые,NO,Алкалоиды,NO,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Ephedrini hydrochloridum,Эфедрина гидрохлорид,Ephedrini hydrochloridi,Act,0.05,0.15,,,,0.25,,Дуже легко розчинний у воді,"Список Б. У щільно закупореній тарі, у захищеному від світла місці",,emulsion,aqua purificata,1.0,,0.025,0.075,0.00625,0.0125,0.025,NO,Лекарственное вещество,Сильнодействующие,Природные,Твердые,NO,Алкалоиды,NO,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Erythromycinum,Эритромицин,Erythromycini,Act,0.5,2.0,,,,,,,сухе місце,,,,,,0.25,1.0,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Eucalyptol,эвкалиптол,Eucalyptoli,Act,0.3,1.0,,,,,,,,,,,,,0.15,0.5,0.0375,0.075,0.15,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Eucalyptus oil,Эвкалиптовое масло,Olei Eucalypti,Act,0.3,1.0,,,,,,,,,,,,,0.15,0.5,0.0375,0.075,0.15,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Euphyllinum,Эуфиллинум,Euphyllini,Act,0.5,1.5,,,,,,,сухе місце,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Extractum Belladonnae,Экстракт Белладонны,Extracti Belladonnae,Act,0.05,0.15,,,0.7,,,,,,,,,,0.025,0.075,0.00625,0.0125,0.025,NO,Лекарственное вещество,Ядовитые,Синтетические,Твердые,YES,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Extractum Frangulae,Отрывок из Франгулиса,Extracti Frangulae,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Extractum Glycyrrhizae,Экстракт солодки,Extracti Glycyrrhizae,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Extractum Valerianae,Экстракт валерианы,Extracti Valerianae,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Ferri lactas,Железное молоко,Ferri lactatis,Act,1.0,3.0,,,,,,,,,,,,,0.5,1.5,0.125,0.25,0.5,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Ferrous sulfate,Сульфат железа,Ferri sulfatis,Act,0.5,1.5,,,,,,,,,,,,,0.25,0.75,0.0625,0.125,0.25,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Formaldehyde,Формальдегид,Formaldehydi,Act,,,,,,,,,"темне місце, температура не нижче 9 град. C",,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Formaldehyde solution,Раствор формальдегида,Solutionis Formaldehydi,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Formalinum,формалин,Formalini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Furacilinum,Фурацилин,Furacilini,Act,0.1,0.5,,,,,,,"сухе, темне місце",,,,,,0.05,0.25,0.0125,0.025,0.05,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,Needs_Isotonization=Yes;Solubility_Speed=Boiling;Light_Sensitive=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Furosemide,Фуросемид,Furosemidi,Act,0.08,0.16,,,,,,,,,,,,,0.04,0.08,0.01,0.02,0.04,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Gel Arnicae 5%,Арника гель 5%,Gel Arnicae 5%,Act,,,,,,,,,"15-25°C, tightly closed",,,,,,,,,,,NO,,,Природные,Мягкие,,Растительное сырье,NO,NO,NO,,,,,,,,,,,,,,,Arnica extract::100,,,,,,,,,,,,YES,Carbomer,5%,External,For contusions.,,,,,,,,,,
144,Gel Calendulae 5%,Гель Календулы 5%,Gel Calendulae 5%,Act,,,,,,,,,"15-25°C, tightly closed",,,,,,,,,,,NO,,,Природные,Мягкие,,Растительное сырье,NO,NO,NO,,,,,,,,,,,,,,,Calendula extract::100,,,,,,,,,,,,YES,Carbomer,5%,External,Carbomer neutralized gel; incorporate extract at <40°C.,,,,,,,,,,
145,Gel Capsici 0.025%,"Капсичи гель 0,025%",Gel Capsici 0.025%,Act,,,,,,,,,"15-25°C, tightly closed",,,,,,,,,,,NO,,,Природные,Мягкие,,Растительное сырье,NO,NO,NO,,,,,,,,,,,,,,,Capsicum extract::100,,,,,,,,,,,,YES,Carbomer,0.025%,External,Rubefacient gel.,,,,,,,,,,
146,Gel Hyperici 3%,Гель Гиперичи 3%,Gel Hyperici 3%,Act,,,,,,,,,"15-25°C, tightly closed",,,,,,,,,,,NO,,,Природные,Мягкие,,Растительное сырье,NO,NO,NO,,,,,,,,,,,,,,,Hypericum extract::100,,,,,,,,,,,,YES,Carbomer,3%,External,Anti-inflammatory gel base.,,,,,,,,,,
147,Heparinum,Гепарин,Heparini,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Сильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Hexamethylenetetraminum,Гексаметилентетрамин,Hexamethylenetetramini,Act,,,,,20,0.78,0.22,1:1.5 (очень легко растворим в воде),У сухому місці,Несумісний з кислотами,,,,,,,,,,NO,Лекарственное вещество,Антисептическое,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Hydrargyri dichloridum,Дихлорид ртути,Hydrargyri dichloridi,Act,0.01,0.02,,,,,,,,,,,,,0.005,0.01,0.00125,0.0025,0.005,YES,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Hydrargyri oxydum flavum,Желтый оксид ртути,Hydrargyri oxydi flavi,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Hydrogen peroxide,Перекись водорода,Hydrogenii peroxydi,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Hydrogenii peroxydi,Гидрогении пероксиди,Hydrogenii peroxydi solutionis,Act,,,,,,,,,,Змішується з водою у всіх співвідношеннях,У прохолодному захищеному від світла місці. Несумісний з лугами та органічними сполуками,,,,,,,,,,false,false,Антисептичний засіб,Жидкие,Прозора безбарвна рідина без запаху,false,Oxidizing agents,NO,NO,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,",
153,Hydrogenii peroxydum,Перекись водорода,Hydrogenii peroxydi,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Жидкие,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Hydroquinone,гидрохинон,Hydrochinoni,Act,,,,,,,,,,,,,,,,,,,,NO,Лекарственное вещество,Несильнодействующие,Синтетические,Твердые,NO,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Hyoscine,Гиосцин,Scopolamini,Act,0.0005,0.0015,,,,,,,,,,,,,0.00025,0.00075,6.3e-05,0.000125,0.00025,YES,Лекарственное вещество,Ядовитые,Природные,Твердые,YES,Алкалоиды,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Ichthammolum,Ихтиол,Ichthyoli,Act,1.0,3.0,20.0,1.1,0.18,,,,"Розчинний у воді, гліцерині, частково в спирті та ефірі","Несумісний з алкалоїдами, солями важких металів, кислотами (відбувається коагуляція)",,,,0.1,0.3,0.05,0.2,0.5,false,NO,Місцевоподразнювальний та антисептичний засіб,Organic,Темно-коричнева в'язка рідина зі специфічним запахом,Жидкие,Protected colloid,false,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ichthyol
